tops,bottoms,shoes,accessories
86907471.0,108151646.0,82702834.0,38732150.0
213103558.0,213665954.0,147924345.0,179994651.0
141199466.0,126486223.0,138821306.0,136135270.0
78072453.0,77382386.0,72437146.0,72583681.0
158203531.0,160096318.0,160481298.0,154806480.0
183409513.0,192919545.0,171344322.0,206675821.0
208139579.0,195611982.0,207379776.0,160487253.0
213343566.0,200796374.0,212909589.0,212950561.0
209970388.0,210630716.0,149544342.0,209834900.0
171987815.0,169844652.0,168997095.0,171544104.0
204476042.0,147129558.0,203069467.0,202313275.0
74127570.0,51480289.0,74769349.0,66011688.0
173120061.0,143131167.0,169673924.0,115621367.0
173936137.0,166958247.0,173016934.0,176569564.0
129513102.0,130454628.0,115432392.0,155510759.0
176748718.0,195942519.0,176666698.0,191657101.0
144003743.0,144859420.0,123373616.0,142123005.0
197315187.0,202248516.0,193834966.0,199766725.0
201826113.0,179049884.0,202025235.0,200343636.0
187078160.0,187498663.0,195927103.0,143656150.0
199067668.0,198079048.0,198264067.0,198470396.0
73015494.0,73354576.0,62629521.0,74091742.0
67441724.0,67801643.0,69316831.0,67059624.0
195848374.0,180179802.0,121735540.0,191054788.0
202521153.0,206069619.0,194877535.0,205409921.0
213214948.0,213458656.0,214297059.0,212967519.0
179670223.0,129525041.0,206663394.0,206994342.0
73614515.0,74789432.0,53889109.0,74509782.0
204795770.0,200980614.0,203363593.0,190411702.0
113725418.0,110683716.0,108373225.0,110178861.0
168216961.0,167141697.0,167369551.0,143808095.0
181145084.0,132518631.0,180613841.0,174853392.0
78611262.0,78238418.0,77959463.0,78511641.0
207813309.0,209697741.0,183463875.0,146394997.0
204100374.0,203731725.0,202201680.0,193956118.0
197005945.0,195383432.0,169782796.0,184407904.0
200505985.0,175933942.0,192075926.0,200451748.0
165006544.0,178813949.0,171948652.0,159010337.0
192438640.0,192439136.0,189993595.0,188794665.0
143211517.0,143211492.0,145535064.0,144395926.0
147911631.0,143777747.0,147053950.0,151311385.0
9024157.0,194769602.0,108366371.0,168999803.0
175434027.0,171142714.0,174829228.0,176655601.0
141798243.0,192960228.0,203220040.0,150123553.0
138166430.0,130792343.0,128372165.0,118138755.0
199950464.0,199770266.0,192528116.0,199951967.0
215452457.0,211145017.0,213357156.0,214537021.0
177083879.0,168870014.0,166966666.0,157694028.0
207221607.0,202328524.0,209875644.0,186146901.0
200785087.0,196327922.0,201484457.0,201922092.0
201544142.0,206233559.0,197164022.0,190492367.0
177334086.0,178226662.0,186184113.0,157500118.0
45691229.0,84029192.0,73653208.0,72897232.0
142203526.0,135643186.0,145424196.0,135439215.0
135697649.0,127395458.0,126875345.0,133981972.0
206926423.0,204832530.0,206926579.0,206741333.0
127695710.0,135801995.0,131496093.0,134729520.0
111567196.0,84566582.0,110716703.0,86761543.0
183678717.0,183678894.0,188364723.0,190345651.0
148058757.0,148821778.0,83711957.0,154352443.0
193572823.0,198092311.0,198092139.0,195737633.0
95731311.0,79583400.0,134284998.0,167055769.0
192143888.0,145604273.0,164796324.0,197281339.0
138335381.0,140846897.0,129185603.0,132422425.0
194725589.0,158863060.0,197635596.0,197167030.0
63434426.0,63505574.0,59118300.0,62985633.0
1027065.0,161502641.0,163263319.0,179218523.0
205182810.0,202571801.0,198641025.0,203851100.0
172718549.0,207871224.0,207007174.0,200874107.0
192778482.0,192778714.0,191032478.0,192779268.0
104061403.0,111252665.0,105465833.0,89743690.0
176748150.0,193610922.0,207010104.0,199922234.0
75755411.0,79758639.0,81376188.0,74092047.0
197779163.0,146650023.0,203879698.0,205301370.0
175792355.0,172326417.0,180211203.0,199244662.0
186809419.0,194987231.0,182770543.0,194060823.0
202739461.0,209908621.0,199414457.0,138727182.0
207869589.0,169779227.0,192882054.0,62502350.0
174470378.0,184380372.0,131814790.0,177394682.0
187960982.0,200002857.0,208442500.0,200682170.0
59955046.0,59033259.0,56935191.0,60570971.0
190992250.0,184154812.0,182900140.0,192567664.0
212333604.0,212333613.0,208095835.0,212856287.0
206293233.0,203418570.0,209738241.0,184092107.0
198047625.0,171667258.0,209150470.0,194620381.0
215636902.0,208071311.0,215637310.0,203813673.0
206301481.0,206285685.0,202858470.0,174961494.0
89218526.0,178946089.0,184427297.0,173480056.0
206566877.0,201881199.0,205523734.0,145970325.0
201497503.0,203366878.0,195795959.0,209013317.0
207095268.0,206233559.0,205381736.0,206280891.0
213978826.0,213552373.0,213805109.0,211265622.0
205064905.0,199875458.0,193643502.0,184107502.0
204918036.0,203391315.0,212706502.0,177634377.0
195498377.0,205092148.0,178476811.0,161498471.0
117539661.0,192953156.0,189533318.0,67552915.0
115793548.0,146713718.0,116750362.0,140382659.0
192930653.0,203952464.0,154642609.0,200030150.0
129959377.0,104137740.0,128991595.0,133770861.0
210093707.0,213199907.0,204683870.0,212234415.0
118271398.0,118133081.0,95995613.0,88136653.0
184570480.0,179666696.0,175446222.0,186429232.0
136473964.0,133516503.0,76072366.0,130482958.0
179058697.0,177309131.0,178970197.0,177487487.0
184596570.0,186767710.0,188379161.0,186193811.0
188742056.0,196794847.0,182533108.0,184053379.0
187561855.0,187893227.0,187025424.0,184581147.0
88875537.0,202157748.0,214768255.0,208899437.0
210093614.0,209107198.0,208823520.0,190344810.0
200350123.0,198994841.0,200200070.0,200375207.0
195518442.0,166569512.0,209783146.0,204033268.0
94753412.0,96747442.0,97625037.0,85342652.0
194793768.0,195067459.0,107738931.0,191455217.0
8089954.0,26760608.0,44495112.0,45625150.0
195332509.0,195151617.0,193904252.0,195333389.0
87973358.0,87142032.0,45944976.0,86493208.0
200750356.0,204703490.0,209174718.0,211407803.0
213975587.0,194810308.0,192901895.0,213107525.0
86390080.0,56059925.0,94343526.0,198003262.0
189589310.0,180659109.0,185688841.0,190493136.0
212117381.0,212117552.0,212118409.0,209125428.0
209064934.0,211672689.0,210041962.0,212528859.0
113629384.0,130272990.0,125766446.0,124184976.0
193880190.0,193966876.0,194491667.0,192448420.0
203339745.0,195871460.0,203669213.0,208710987.0
211063116.0,211015446.0,204628866.0,208651704.0
179664581.0,197217410.0,201522515.0,103125467.0
191542431.0,195411094.0,174205059.0,191191181.0
168342925.0,11194652.0,151299601.0,176845991.0
1230720.0,50270560.0,52032550.0,44432219.0
148722057.0,175492400.0,144492387.0,169900612.0
185944114.0,149624008.0,192935178.0,192552573.0
213583020.0,209502939.0,213500250.0,213421370.0
179882125.0,205938035.0,211462903.0,206266041.0
210500453.0,212791984.0,210288248.0,213038665.0
211931209.0,183807284.0,208196016.0,212551738.0
214603189.0,214502858.0,215585515.0,207946500.0
200835884.0,71882508.0,211214641.0,208668992.0
167722602.0,182055692.0,182273053.0,187868608.0
200298353.0,194498259.0,206061273.0,198745091.0
160212310.0,138974548.0,163749516.0,168462014.0
73886410.0,73475756.0,75807353.0,71321636.0
166854199.0,163508506.0,171229131.0,171180641.0
50574870.0,65392450.0,74699366.0,63297920.0
16119463.0,13833350.0,18389144.0,17409906.0
169782934.0,168702123.0,179173495.0,167352271.0
212173218.0,213836596.0,211893844.0,180258523.0
210506637.0,15723124.0,199930651.0,206788181.0
103842195.0,69353334.0,113040178.0,108773457.0
164104964.0,149173000.0,172611335.0,178215382.0
164214287.0,191595123.0,152405913.0,139413804.0
73503371.0,128103039.0,77286570.0,134530400.0
207603339.0,208819182.0,206821061.0,193323207.0
197259631.0,200509328.0,203142450.0,205081213.0
206505079.0,209179607.0,206374805.0,204328767.0
202001821.0,199768486.0,201534983.0,201240617.0
116643259.0,183718878.0,203003209.0,190817290.0
211212581.0,206780505.0,209968908.0,207942338.0
209532179.0,159242743.0,208282516.0,204328767.0
194894517.0,188705104.0,160100913.0,153487781.0
195617728.0,202149363.0,202091546.0,202460124.0
128456286.0,156451389.0,164285938.0,178769062.0
196956104.0,184951702.0,186580691.0,197129848.0
200082065.0,205491335.0,205104346.0,196303757.0
153253884.0,161556796.0,151752934.0,155678697.0
168359141.0,158844898.0,213161704.0,174151402.0
183188085.0,126883723.0,202858470.0,202860813.0
210240807.0,185171491.0,211030320.0,201615535.0
210641971.0,210435426.0,210055117.0,211849967.0
135928641.0,176774552.0,209132003.0,200936089.0
211000181.0,204837602.0,203859093.0,213086438.0
204526891.0,206016951.0,203069641.0,203379660.0
73612377.0,142433034.0,148482862.0,126658969.0
203965428.0,207434377.0,202468279.0,204810481.0
183825313.0,124528369.0,183694284.0,18355529.0
122184736.0,114790027.0,128420432.0,83760667.0
133631280.0,124935520.0,127969888.0,133823130.0
180023228.0,180022816.0,169390583.0,143724755.0
208523050.0,208711440.0,208456278.0,202603768.0
141199466.0,141009708.0,48170721.0,123514352.0
171249954.0,197790139.0,194721623.0,209091850.0
67681026.0,75205630.0,77482996.0,71339489.0
204373358.0,192662419.0,204077093.0,206662820.0
139093443.0,145117568.0,145117734.0,129095096.0
112768075.0,57213083.0,127947793.0,126295879.0
157028868.0,157043290.0,156248058.0,148293424.0
82574478.0,171798711.0,169004728.0,65234060.0
143872043.0,108921630.0,143163394.0,128099824.0
112791080.0,107322071.0,99792048.0,107682819.0
214780505.0,215043149.0,211406045.0,203973480.0
189800492.0,188153318.0,191699824.0,133003257.0
106347587.0,106617945.0,102973123.0,102928541.0
208632549.0,203386304.0,211028341.0,212258528.0
146912049.0,144423927.0,121592093.0,147967775.0
196600505.0,214588925.0,213854328.0,214883521.0
203861522.0,192633768.0,213012852.0,195971381.0
211159880.0,204086724.0,211412517.0,184485577.0
194650800.0,191299882.0,197475421.0,190823673.0
209594567.0,213364951.0,190749909.0,208902033.0
181867184.0,180819756.0,176736745.0,180342869.0
84416827.0,73576542.0,80067796.0,75158018.0
188901197.0,171050077.0,188901866.0,188901497.0
186508820.0,186459480.0,186729409.0,207138794.0
134481588.0,133638552.0,129548846.0,134163423.0
195534304.0,195301918.0,164023574.0,138475168.0
131110850.0,134046281.0,138788694.0,111253961.0
179993900.0,195560497.0,202269322.0,207489522.0
152935953.0,177355921.0,212675929.0,195604561.0
179993900.0,203532583.0,208886242.0,209529521.0
199967272.0,202393818.0,203621476.0,155577872.0
86066155.0,97851403.0,119875439.0,119592293.0
179926281.0,176839678.0,186855936.0,91898306.0
209987056.0,206626164.0,202493547.0,204531375.0
168532357.0,174540804.0,175179793.0,176114818.0
208190173.0,200408244.0,213214576.0,209709155.0
155593627.0,170197417.0,179400355.0,124471452.0
211671643.0,211162164.0,208152780.0,206160968.0
187526598.0,194498259.0,195878440.0,196219732.0
186264543.0,182411735.0,179674076.0,182926834.0
185065028.0,124190275.0,177300409.0,183395292.0
197166055.0,193873775.0,207538862.0,187399486.0
47095069.0,113974794.0,62575005.0,107760528.0
194107166.0,189959087.0,209369338.0,166109713.0
118586635.0,130616091.0,93255721.0,109222895.0
196088802.0,209916964.0,204975400.0,142138982.0
207115365.0,179821440.0,204402051.0,207343358.0
67255216.0,77133423.0,99596387.0,105542978.0
49577341.0,48680804.0,42219137.0,38790394.0
188853630.0,162268934.0,202712899.0,204480041.0
95998260.0,181985932.0,170556855.0,135000521.0
212197744.0,212326022.0,209947569.0,213086645.0
167451870.0,195775735.0,167967668.0,202128855.0
185956717.0,189548807.0,202020751.0,207859521.0
204336930.0,51522051.0,202595245.0,209419229.0
202520414.0,206809631.0,208282516.0,172605536.0
146959065.0,150921578.0,152429312.0,155696901.0
214321555.0,214020027.0,212057657.0,212534410.0
191056489.0,211978861.0,211698190.0,212220399.0
154162964.0,181278063.0,175914182.0,181696609.0
168955377.0,172938129.0,159369178.0,174963383.0
195525934.0,182147840.0,193313194.0,193983183.0
142140559.0,154085857.0,153170041.0,133381234.0
188445135.0,185216331.0,178341821.0,189263712.0
195884163.0,179822887.0,185863201.0,147582750.0
135451055.0,178246699.0,168099877.0,106235592.0
211990126.0,212188113.0,209681349.0,207573505.0
190901485.0,196732657.0,200879611.0,185349059.0
194688455.0,188648363.0,206299484.0,200036005.0
189034521.0,189758835.0,207826616.0,200858783.0
209818291.0,209924261.0,208172566.0,188692179.0
178442743.0,199787757.0,197765921.0,202227307.0
200583010.0,187796300.0,189457961.0,186628527.0
60799193.0,56373179.0,47814328.0,61756906.0
103348898.0,101879877.0,109494200.0,87092622.0
176029244.0,188202281.0,190027778.0,168315905.0
169781592.0,159031424.0,144489884.0,175351149.0
87131706.0,149962094.0,186816412.0,182306856.0
213747059.0,211654437.0,212150567.0,197519887.0
72413127.0,72650576.0,88790222.0,73521813.0
167761529.0,140963877.0,190111428.0,170212811.0
111555797.0,89027333.0,113230207.0,114065468.0
206109297.0,206194979.0,204405016.0,215077874.0
178285152.0,194510316.0,200981311.0,186423211.0
16856466.0,17156816.0,19052601.0,19510855.0
135764445.0,205511647.0,35845876.0,189745995.0
213417729.0,213418120.0,210441435.0,212524126.0
209235673.0,203153761.0,195568355.0,210379685.0
43009406.0,41301508.0,42468645.0,30350094.0
185371401.0,209194668.0,209179846.0,210365269.0
196444904.0,202571801.0,135781310.0,203497196.0
178305391.0,179049542.0,172495133.0,173904346.0
208742206.0,203490174.0,207214996.0,205019396.0
191551309.0,177602822.0,126734285.0,152359662.0
214616547.0,214761331.0,209220253.0,210324647.0
208429045.0,206983530.0,208288704.0,160819806.0
115236919.0,115236917.0,209595840.0,193108709.0
207603571.0,205565891.0,206367601.0,205103414.0
33610672.0,136201747.0,131589764.0,143596665.0
167984872.0,158869530.0,165919826.0,161492831.0
188582987.0,122148977.0,176720394.0,181251476.0
212478119.0,209579832.0,179502236.0,212479588.0
191689918.0,193075013.0,194497897.0,192861384.0
31994725.0,26668202.0,31480454.0,35106476.0
197342872.0,176993998.0,200350529.0,194883650.0
121426831.0,156363977.0,81694808.0,157080783.0
214108092.0,214253357.0,207911543.0,213780053.0
183633709.0,183858460.0,186521426.0,187614877.0
203343165.0,211995299.0,211870655.0,206705882.0
194696531.0,193479520.0,194348497.0,183699669.0
171489449.0,165600527.0,171245207.0,156466557.0
112204647.0,114655387.0,111628351.0,105093134.0
211429176.0,198345101.0,204230814.0,213043315.0
192417621.0,195127368.0,198001725.0,169064389.0
193032342.0,203592013.0,201771356.0,200974603.0
89387426.0,101251047.0,103006914.0,102190265.0
141192341.0,141224354.0,109422887.0,135699891.0
179787537.0,176223793.0,100976417.0,178358707.0
171222658.0,213583775.0,207429949.0,209710387.0
88413051.0,51400154.0,75802625.0,76836819.0
193302090.0,192995815.0,193302712.0,193303034.0
196375847.0,62900359.0,175295945.0,165221051.0
202933909.0,203711361.0,207898804.0,203443618.0
200044782.0,185770639.0,157916182.0,192429012.0
73111991.0,69093354.0,78599516.0,77096071.0
207428949.0,204883702.0,209619413.0,206573288.0
207659916.0,212856399.0,173173415.0,209612747.0
78886099.0,76659642.0,46314417.0,80734819.0
150371878.0,148957294.0,148626159.0,146527312.0
192824591.0,197497309.0,193045699.0,185410102.0
197418396.0,208626557.0,204639793.0,209555110.0
207095268.0,195483574.0,205945277.0,206300846.0
68876368.0,67410431.0,64286825.0,67719548.0
207334350.0,212086671.0,114541722.0,197124995.0
204838680.0,206047334.0,205719851.0,206049681.0
159699094.0,191616491.0,190339173.0,187406196.0
104232612.0,99307137.0,88674532.0,110677576.0
204716810.0,200938059.0,197153931.0,204501533.0
113456943.0,104276812.0,86316695.0,109733026.0
133121621.0,172971599.0,158092993.0,177521637.0
162809046.0,177431402.0,178044944.0,172682679.0
210582818.0,208628886.0,209109665.0,210584581.0
168732736.0,167791333.0,164074053.0,166912395.0
167839877.0,196985944.0,175592196.0,164560404.0
178079324.0,178079669.0,166495387.0,172852025.0
205788993.0,167966899.0,198021470.0,175119989.0
124271940.0,182383615.0,173449712.0,192629283.0
169161005.0,169161011.0,168075909.0,160809350.0
57533635.0,62783504.0,66798140.0,67640233.0
105450104.0,174105205.0,152175785.0,165651948.0
193397997.0,203741771.0,204377263.0,194592631.0
191321352.0,201906499.0,199811903.0,195326763.0
168444982.0,170218213.0,172611815.0,172123773.0
203422960.0,202067688.0,200500167.0,203413432.0
76859138.0,80681728.0,77518021.0,68492941.0
207320560.0,209144288.0,204913448.0,177421357.0
93562601.0,98129380.0,110334840.0,85365150.0
168538703.0,168547873.0,179683969.0,178766901.0
179444934.0,179444931.0,179444932.0,151515596.0
210214586.0,211689043.0,207162326.0,209168634.0
211022438.0,143895043.0,205546302.0,208668992.0
22953729.0,64437008.0,87774105.0,100140614.0
192786887.0,140993761.0,191703275.0,206507946.0
205352556.0,210253358.0,209627658.0,208629430.0
173555368.0,126986104.0,138326639.0,106248057.0
156305791.0,159480745.0,141013455.0,135080116.0
194716532.0,202996590.0,197655316.0,201882684.0
165183477.0,167718321.0,167720296.0,167720937.0
204757555.0,176735137.0,203737458.0,204189042.0
209106655.0,209198741.0,205510464.0,208338575.0
162280560.0,196946420.0,210306685.0,197413470.0
205022450.0,192401231.0,197256479.0,189351072.0
178336261.0,154815565.0,176748912.0,133422694.0
195934744.0,187961425.0,196151265.0,192882961.0
185253557.0,171523219.0,177991519.0,187198512.0
210571670.0,197196537.0,186167500.0,191528090.0
163780284.0,212741391.0,117443713.0,168899996.0
203318883.0,196679747.0,209104910.0,168945520.0
164331964.0,92579171.0,205343536.0,44103941.0
192101306.0,181871768.0,172140723.0,188453627.0
77169795.0,75694809.0,77355409.0,71007312.0
126865253.0,119187682.0,132841100.0,127625234.0
157555738.0,183639308.0,181873612.0,182677879.0
161797260.0,169740920.0,151954619.0,169743018.0
202143637.0,200609198.0,176452761.0,48797933.0
204644536.0,204644584.0,204644862.0,204646811.0
165548190.0,176850201.0,176957694.0,168818044.0
143498589.0,146017207.0,109226153.0,112601033.0
193655794.0,195691985.0,197593305.0,197593845.0
69236132.0,189738094.0,118484592.0,139434221.0
214775404.0,157766061.0,213855367.0,200043378.0
215455343.0,215455679.0,208341744.0,171567820.0
185930664.0,196053632.0,170978489.0,194850456.0
200513557.0,178854548.0,213832563.0,213914636.0
150336385.0,146910733.0,147905219.0,138757839.0
210566061.0,213944669.0,213750382.0,209439949.0
195925898.0,194823169.0,195911103.0,193931963.0
199419495.0,204264018.0,189768219.0,195558974.0
204381694.0,207208268.0,212706111.0,150857390.0
166916779.0,133210439.0,170426533.0,132351208.0
212559693.0,194095658.0,182299699.0,203678750.0
209625930.0,209447485.0,204667725.0,201325161.0
204288542.0,194270018.0,199542522.0,194216776.0
191241262.0,183639308.0,190970591.0,191241690.0
158196376.0,174895749.0,167967668.0,148732654.0
194536015.0,213014664.0,206641404.0,206511495.0
171158940.0,203516847.0,161172541.0,206683100.0
73758653.0,156345814.0,156575288.0,129656441.0
177311923.0,176222096.0,174770445.0,176599337.0
36762360.0,205434006.0,212354981.0,210042847.0
167997180.0,99673751.0,169232329.0,149734769.0
199664973.0,192752039.0,199665259.0,181079853.0
199559272.0,199559216.0,203427840.0,195011973.0
193221273.0,183192533.0,180758040.0,192696142.0
210201040.0,207554816.0,208212667.0,201481168.0
197823657.0,193708952.0,197968602.0,197969795.0
183023390.0,187543786.0,147924973.0,182633339.0
203411261.0,203163150.0,206477499.0,206477131.0
195483236.0,195842177.0,196263446.0,200031491.0
119113285.0,113448011.0,120004557.0,93399796.0
205683618.0,205750368.0,206008773.0,205749653.0
212076990.0,212077718.0,212081342.0,212087213.0
181552509.0,142029154.0,181162017.0,68532028.0
206757346.0,204166214.0,177472995.0,206349995.0
167700629.0,205539094.0,209279100.0,206564053.0
205016378.0,205016394.0,204625399.0,190240397.0
172742244.0,181047856.0,186403472.0,167675477.0
210189063.0,180176340.0,205354756.0,211467888.0
194926401.0,194998290.0,174802657.0,191054836.0
187597855.0,157387023.0,174467301.0,167158322.0
206298935.0,179052246.0,206949792.0,206277830.0
150316593.0,177378583.0,162254250.0,177496376.0
204271805.0,205709826.0,206620143.0,175273655.0
187626741.0,133848655.0,188198899.0,187942007.0
206153646.0,205702771.0,206903725.0,205722882.0
87531585.0,121592571.0,93939490.0,125561073.0
209830062.0,209830079.0,209925185.0,193824639.0
49200684.0,48752340.0,47270149.0,51852695.0
209979763.0,212436201.0,184189522.0,211226204.0
187087813.0,183639308.0,188684546.0,184060744.0
194406105.0,196295484.0,194979548.0,160522240.0
211202920.0,169059518.0,207806044.0,179042698.0
177735570.0,164923137.0,131149786.0,195798424.0
106665510.0,111170369.0,64138972.0,46804185.0
213417809.0,213418030.0,213401003.0,213361643.0
208421265.0,212494624.0,209097827.0,166098327.0
182444866.0,180172045.0,176732226.0,69273944.0
169911165.0,79008917.0,189549167.0,19548710.0
134006097.0,49487127.0,132773685.0,134964465.0
207314796.0,202204580.0,195952250.0,207491119.0
211472158.0,207580798.0,203415759.0,208606755.0
210328063.0,211377679.0,209240459.0,93903969.0
198218383.0,195185232.0,194348497.0,191520353.0
189913707.0,195589636.0,181635034.0,185919671.0
205788993.0,191595881.0,210207733.0,176333450.0
61440633.0,65019071.0,61575829.0,61368107.0
203985895.0,203270772.0,203986414.0,201253401.0
206218690.0,211428928.0,212434023.0,213086582.0
186192145.0,193313093.0,183419189.0,193312111.0
212894473.0,193092626.0,212899914.0,174719537.0
181602769.0,151872885.0,90132729.0,188638670.0
201986577.0,124854660.0,176120962.0,191305321.0
204093647.0,199785194.0,201135709.0,198505265.0
154210574.0,154809993.0,154486757.0,154762387.0
210983513.0,189834308.0,210802390.0,210854149.0
145962909.0,148453251.0,147369308.0,123528799.0
166122781.0,159578148.0,120481451.0,165686967.0
146709617.0,78097301.0,88295465.0,32242111.0
188791435.0,201412325.0,151581575.0,193811560.0
92939707.0,173158700.0,75959067.0,157505843.0
132151715.0,142441747.0,142004859.0,150920915.0
189595625.0,193920133.0,170499342.0,190671538.0
125716370.0,206262336.0,198395450.0,206877571.0
94664535.0,97780753.0,100094985.0,97075344.0
212224465.0,207721750.0,215466157.0,213576413.0
167343405.0,163708042.0,168461706.0,139629174.0
71546002.0,75205559.0,88901701.0,13111596.0
